event_id,event_ts,transaction_id,sender_account_id,beneficiary_id,payment_rail,channel,amount_inr,currency,merchant_category,transaction_status,device_id,ip_prefix,geo_region,auth_method,session_age_seconds,account_age_days,beneficiary_age_days,label_fraud,attack_family,scenario_id,legitimate_control
2f92ec78-ec6f-99ca-a135-7b20203430e3,2026-08-01T00:09:20+00:00,4ed6a6b5-4383-431a-4f26-c90df20b4c80,acct_000046,p2p_000091,UPI,MOBILE_APP,518.43,INR,P2P_TRANSFER,APPROVED,dev_000046,10.107.152.0/24,RJ,PIN,30,964,737,False,,,
c5793894-8b3a-72a2-8b0d-4a8d14b69bd6,2026-08-01T00:19:29+00:00,3fdd1b6a-a491-5b8f-3bc7-3b5b51483c9a,acct_000040,merchant_000012,UPI,API,726.73,INR,DINING,APPROVED,dev_000040,10.122.158.0/24,DL,BIOMETRIC,1578,3349,819,False,,,
fa0fd12b-84ec-8176-a25d-79b7eeffa038,2026-08-01T00:37:30+00:00,c0249b3f-3781-7fb8-3cc9-1c737110fa74,acct_000095,merchant_000075,CARD,MOBILE_APP,581.14,INR,TRAVEL,APPROVED,dev_000095,10.80.221.0/24,TS,OTP,2034,3048,1,False,,,
78ab545a-273f-66af-81de-c265013cd50e,2026-08-01T00:54:33+00:00,9034a296-1ed5-3536-4626-d08b625f5e9c,acct_000087,merchant_000083,BANK_TRANSFER,API,954.48,INR,GROCERY,APPROVED,dev_000087,10.14.163.0/24,DL,PASSWORD,1938,3635,910,False,,,
25583960-49f2-1167-74e6-04f59a9577f7,2026-08-01T01:06:24+00:00,c1f3757b-a7dc-bdae-b134-42b68d767678,acct_000010,merchant_000019,CARD,POS,1507.12,INR,TRAVEL,APPROVED,dev_000010,10.106.134.0/24,UP,CARD_CVV,1896,137,1140,False,,,
181b8013-4658-bbfd-c8ad-b5d752149c1b,2026-08-01T02:08:52+00:00,8943651f-e5dd-70ee-d82e-1653345ae437,acct_000068,merchant_000029,WALLET,POS,312.45,INR,DINING,APPROVED,dev_000068,10.123.93.0/24,KA,BIOMETRIC,769,3345,1132,False,,,
4f86d5ca-c219-a352-9184-1720d3359050,2026-08-01T02:08:55+00:00,605dd1b7-3e18-6105-88db-d18d1723dd14,acct_000073,merchant_000090,BANK_TRANSFER,POS,237.01,INR,DINING,APPROVED,dev_000073,10.48.213.0/24,MH,BIOMETRIC,1419,276,854,False,,,
85b14d05-82bb-e665-1302-16dfb8bbb7f2,2026-08-01T02:15:10+00:00,2f023414-b591-e991-a56d-923d1e38ee62,acct_000062,p2p_000041,UPI,MOBILE_APP,182.85,INR,P2P_TRANSFER,APPROVED,dev_000062,10.139.40.0/24,MH,BIOMETRIC,793,3445,656,False,,,
166200e4-80f1-a575-6731-ac76b176a715,2026-08-01T02:15:10+00:00,706fb1a4-7200-046a-c93d-4911c6e3a615,acct_000055,merchant_000100,CARD,API,818.17,INR,FUEL,APPROVED,dev_000055,10.45.73.0/24,DL,CARD_CVV,492,2568,787,False,,,
de135586-34a3-c541-bbda-d369eb2311ec,2026-08-01T02:18:30+00:00,26c9d696-b2ad-1b22-e62a-e8228bd32bd8,acct_000008,travel_payee_000008,WALLET,MOBILE_APP,1176.46,INR,ECOMMERCE,APPROVED,dev_replacement_000008,10.210.8.9.0/24,TN,PIN,445,2024,7,False,,,TRAVEL_NEW_DEVICE
53fdd599-ac3d-6bf4-0dd5-07a6a2fc5f93,2026-08-01T02:18:37+00:00,ee7a5ddc-2d4f-1a3f-9f15-2d40eb685d18,acct_000014,popular_000001,WALLET,API,334.0,INR,ECOMMERCE,APPROVED,dev_000014,10.158.119.0/24,MH,PIN,713,1000,428,False,,,POPULAR_MERCHANT
f5448826-54f5-c929-5b81-707eaaa64c9a,2026-08-01T02:20:43+00:00,8511631c-0185-711a-e392-8f762e454a2a,acct_000004,merchant_000079,WALLET,POS,129.81,INR,GROCERY,APPROVED,dev_000004,10.199.15.0/24,RJ,BIOMETRIC,817,2647,1,False,,,
da1bdeda-6f6a-f746-3eea-ed70ebafcef3,2026-08-01T02:23:35+00:00,b968f464-f822-8967-6666-a5c639136fac,acct_000089,p2p_000036,UPI,MOBILE_APP,1027.57,INR,P2P_TRANSFER,APPROVED,dev_000089,10.124.20.0/24,RJ,BIOMETRIC,113,2810,513,False,,,
05d0b60d-8730-4621-64f4-2cd92be1eaa7,2026-08-01T02:25:50+00:00,340c2dc9-d070-f399-7383-3c36d0f67b80,acct_000042,merchant_000005,BANK_TRANSFER,API,352.19,INR,ECOMMERCE,APPROVED,dev_000042,10.1.175.0/24,KL,PASSWORD,281,2127,1167,False,,,
9f5aac27-22a8-b39d-5480-40c36b7d441c,2026-08-01T02:26:01+00:00,7d4bdb2f-e891-6c29-721d-fe888da4ce36,acct_000073,p2p_000008,UPI,MOBILE_APP,275.19,INR,P2P_TRANSFER,APPROVED,dev_000073,10.48.213.0/24,MH,PIN,1601,276,437,False,,,
f31006b2-d37a-6e83-36df-fc0c65f0f9f3,2026-08-01T02:27:41+00:00,99e5e2fc-8cb3-c0d8-a2a5-596073656c59,acct_000002,merchant_000082,WALLET,WEB,353.65,INR,FUEL,APPROVED,dev_000002,10.125.146.0/24,MH,PASSWORD,343,1678,88,False,,,
0f431e0e-fafe-e40e-cf3f-4af6051b3877,2026-08-01T02:30:04+00:00,5bce3648-7d3c-0de5-1287-f525ee01d096,acct_000048,merchant_000009,BANK_TRANSFER,API,500.35,INR,GROCERY,APPROVED,dev_000048,10.15.174.0/24,KA,BIOMETRIC,2080,2861,702,False,,,
16cb30c1-7d74-d3ac-6610-d95b413e08a7,2026-08-01T03:03:54+00:00,49e7ae96-aefb-27b7-e88d-c4a465d5f139,acct_000095,merchant_000090,BANK_TRANSFER,API,151.79,INR,FUEL,APPROVED,dev_000095,10.80.221.0/24,TS,BIOMETRIC,657,3048,928,False,,,
